ID,Name,Description,Contributor,Citation,Language_ID,Contribution_Type,Creator,Year,Contribution_Date,License,Copyright,URL,Source
chru,Bible in Chru,"The Bible, translated into Chru.",ebible.org,"Wycliffe Bible Translators, Inc. (2020): Chru [The Bible in Chru]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cje_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2020,2020-11-16,All rights reserved,"Copyright © 2020 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cje_html.zip,CLD-Bible-chru
asheninkapajonalnt,Bible in Ashéninka Pajonal,"The Bible, translated into Ashéninka Pajonal.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Iwaperite tajorentsi ikenkithatakoetziri awinkatharite Jesokirishito: owakirari inimotakiri tajorentsi [The Bible in Ashéninka Pajonal]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cjoNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2014-04-21,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cjoNT_html.zip,CLD-Bible-asheninkapajonalnt
chuave,Bible in Chuave,"The Bible, translated into Chuave.",ebible.org,Wycliffe Bible Translators (1992): YAI GUMAN GUNOM KAM [The Bible in Chuave]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cjv_html.zip,,Primary texts,Wycliffe Bible Translators,1992,2012-01-13,CCBYNCND-4.0,"Copyright © 1992 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cjv_html.zip,CLD-Bible-chuave
centralkurdish,Bible in Central Kurdish,"The Bible, translated into Central Kurdish.",ebible.org, (2020): Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر [The Bible in Central Kurdish]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ckb_html.zip,,Primary texts,,2020,2021-04-09,CCBYSA-4.0,Copyright © 2020 anonymous,https://ebible.org/Scriptures/ckb_html.zip,CLD-Bible-centralkurdish
anufo,Bible in Anufo,"The Bible, translated into Anufo.",ebible.org,"Wycliffe Bible Translators, Inc. (2009): Nyεmε Jɔrε Kadasi [The Bible in Anufo]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cko_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2009,2020-11-13,All rights reserved,"Copyright © 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cko_html.zip,CLD-Bible-anufo
lealaochinantecnt,Bible in Lealao Chinantec,"The Bible, translated into Lealao Chinantec.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Ja̱³la³ fáh⁴dxa⁴²dxú⁴ hi³mɨɨ³² chiáh² Ñúh³a² Jesucristo; Salmos [The Bible in Lealao Chinantec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cleNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2014-04-22,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cleNT_html.zip,CLD-Bible-lealaochinantecnt
caluyanun,Bible in Caluyanun,"The Bible, translated into Caluyanun.",ebible.org,"Wycliffe Bible Translators, Inc. (1990): Anang ambal ang Dios: Magandang balita Biblia [The Bible in Caluyanun]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/clu_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1990,2014-08-06,CCBYNCND-4.0,"Copyright © 1990 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/clu_html.zip,CLD-Bible-caluyanun
cermant,Bible in Cerma,"The Bible, translated into Cerma.",ebible.org,"Wycliffe Bible Translators, Inc. (2011): Diiloŋ-nelma Tobisĩfɛlɛnni [The Bible in Cerma]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmeNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2011,2014-04-23,CCBYNCND,"Copyright © 2011 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cmeNT_html.zip,CLD-Bible-cermant
mandarinchinesecu89s,Bible in Mandarin Chinese,"The Bible, translated into Mandarin Chinese.",ebible.org, (): 新标点和合本 [The Bible in Mandarin Chinese]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmn-cu89s_html.zip,,Primary texts,,,2021-10-15,Public Domain,public domain,https://ebible.org/Scriptures/cmn-cu89s_html.zip,CLD-Bible-mandarinchinesecu89s
mandarinchinesecu89t,Bible in Mandarin Chinese,"The Bible, translated into Mandarin Chinese.",ebible.org, (): 新標點和合本 [The Bible in Mandarin Chinese]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmn-cu89t_html.zip,,Primary texts,,,2021-10-15,Public Domain,public domain,https://ebible.org/Scriptures/cmn-cu89t_html.zip,CLD-Bible-mandarinchinesecu89t
mandarinchinesencvs,Bible in Mandarin Chinese,"The Bible, translated into Mandarin Chinese.",ebible.org,The Worldwide Bible Society Ltd. (1976): 新译本 [The Bible in Mandarin Chinese]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmn-ncvs_html.zip,,Primary texts,The Worldwide Bible Society Ltd.,1976,2022-03-11,All rights reserved,"Copyright © 1976, 1992, 1999, 2001, 2005, 2010 The Worldwide Bible Society Limited",https://ebible.org/Scriptures/cmn-ncvs_html.zip,CLD-Bible-mandarinchinesencvs
mandarinchinesencvt,Bible in Mandarin Chinese,"The Bible, translated into Mandarin Chinese.",ebible.org,The Worldwide Bible Society (1976): 新譯本 [The Bible in Mandarin Chinese]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmn-ncvt_html.zip,,Primary texts,The Worldwide Bible Society,1976,2021-10-15,All rights reserved,"Copyright © 1976, 1992, 1999, 2001, 2005, 2010 The Worldwide Bible Society Limited",https://ebible.org/Scriptures/cmn-ncvt_html.zip,CLD-Bible-mandarinchinesencvt
mandarinchinese2006,Bible in Mandarin Chinese,"The Bible, translated into Mandarin Chinese.",ebible.org,World Bible Translation Center (2004): 圣 经 普通话本 [The Bible in Mandarin Chinese]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmn2006_html.zip,,Primary texts,World Bible Translation Center,2004,2021-10-15,All rights reserved,"Copyright © 2004, 2006 World Bible Translation Center",https://ebible.org/Scriptures/cmn2006_html.zip,CLD-Bible-mandarinchinese2006
mandarinchinesefeb,Bible in Mandarin Chinese,"The Bible, translated into Mandarin Chinese.",ebible.org,"Free Bible Ministry, Inc. (2022): 免费的易读圣经 Free Easy-to-read Bible [The Bible in Mandarin Chinese]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmnfeb_html.zip",,Primary texts,"Free Bible Ministry, Inc.",2022,2022-11-29,CCBYSA,"Copyright © 2022 Free Bible Ministry, Inc.",https://ebible.org/Scriptures/cmnfeb_html.zip,CLD-Bible-mandarinchinesefeb
centralmnong,Bible in Central Mnong,"The Bible, translated into Central Mnong.",ebible.org,"Wycliffe Bible Translators, Inc. (2016): Nau Kôranh Brah Ngơi Nau Tâm Rnglăp Mhe [The Bible in Central Mnong]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmo_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2016,2020-11-16,All rights reserved,"Copyright © 2016 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cmo_html.zip,CLD-Bible-centralmnong
centralmnongk,Bible in Central Mnong,"The Bible, translated into Central Mnong.",ebible.org,"Wycliffe Bible Translators, Inc. (2016): នាវ​កោរាញ​ឞ្រាស​ងើយ​​នាវ​តឹម​រាង្លាប់​មហែ [The Bible in Central Mnong]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cmok_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2016,2020-11-16,All rights reserved,"Copyright © 2016 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cmok_html.zip,CLD-Bible-centralmnongk
ashaninkant,Bible in Asháninka,"The Bible, translated into Asháninka.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Irineane tasorentsi oquenquetsatacotaqueri Avincatsarite Jesoquirishito [The Bible in Asháninka]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cniNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2014-04-21,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cniNT_html.zip,CLD-Bible-ashaninkant
lalanachinantecnt,Bible in Lalana Chinantec,"The Bible, translated into Lalana Chinantec.",ebible.org,"Wycliffe Bible Translators, Inc. (2012): Júu² 'mɨɨn³² 'e³ ca²³ŋɨń² Dios [The Bible in Lalana Chinantec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cnlNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2012,2014-04-22,CCBYNCND-4.0,"Copyright © 2012 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cnlNT_html.zip,CLD-Bible-lalanachinantecnt
tepetotutlachinantecnt,Bible in Tepetotutla Chinantec,"The Bible, translated into Tepetotutla Chinantec.",ebible.org,"Wycliffe Bible Translators, Inc. (1994): Jag₁ ʼmɨ́₂ a₂ma₂lɨʼ₅₄ quianʼ₅₄ Diu₄ [The Bible in Tepetotutla Chinantec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cntNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1994,2014-04-22,CCBYNCND-4.0,"Copyright © 1994 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cntNT_html.zip,CLD-Bible-tepetotutlachinantecnt
koreguaje,Bible in Koreguaje,"The Bible, translated into Koreguaje.",ebible.org,"Wycliffe Bible Translators, Inc. (2009): Dios Chʉ'o Kʉaphʉro [The Bible in Koreguaje]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/coe_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2009,2020-11-18,All rights reserved,"Copyright © 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/coe_html.zip,CLD-Bible-koreguaje
tsafikint,Bible in Tsafiki,"The Bible, translated into Tsafiki.",ebible.org,"Wycliffe Bible Translators, Inc. (2012): Diosichi Pila [The Bible in Tsafiki]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cofNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2012,2014-04-22,CCBYNCND-4.0,"Copyright © 2012 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cofNT_html.zip,CLD-Bible-tsafikint
santateresacora,Bible in Santa Teresa Cora,"The Bible, translated into Santa Teresa Cora.",ebible.org,"Wycliffe Bible Translators, Inc. (2016): Ɨ nyúucarij tɨ jájcua tɨ aꞌɨj́na áꞌxaj ɨ Tavástaraꞌ ɨ Jesús tɨ Cɨríistuꞌ pueꞌeen ajta Salmos [The Bible in Santa Teresa Cora]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cok_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2016,2020-11-30,All rights reserved,"Copyright © 2016 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cok_html.zip,CLD-Bible-santateresacora
cofanntpo,Bible in Cofán,"The Bible, translated into Cofán.",ebible.org,"Wycliffe Bible Translators, Inc. (2012): Chiga Tevaen'Jema Atesuja 1, Aisheve Caña'cho [The Bible in Cofán]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/conNTpo_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2012,2014-04-22,CCBYNCND-4.0,"Copyright © 2012 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/conNTpo_html.zip,CLD-Bible-cofanntpo
copticbhc,Bible in Coptic,"The Bible, translated into Coptic.",ebible.org,Horner (): القبطية البحيرية العهد الجديد [The Bible in Coptic]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/copbhc_html.zip,,Primary texts,Horner,,2014-09-16,Public Domain,public domain,https://ebible.org/Scriptures/copbhc_html.zip,CLD-Bible-copticbhc
copticcnt,Bible in Coptic,"The Bible, translated into Coptic.",ebible.org, (): القبطية العهد الجديد [The Bible in Coptic]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/copcnt_html.zip,,Primary texts,,,2014-09-16,Public Domain,public domain,https://ebible.org/Scriptures/copcnt_html.zip,CLD-Bible-copticcnt
copticshc,Bible in Coptic,"The Bible, translated into Coptic.",ebible.org,J Warren Wells (2000): Sahidica - طبعة جديدة من العهد الجديد باللغة القبطية الصعيدية [The Bible in Coptic]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/copshc_html.zip,,Primary texts,J Warren Wells,2000,2014-09-16,All rights reserved,Copyright © 2000-2006 J Warren Wells,https://ebible.org/Scriptures/copshc_html.zip,CLD-Bible-copticshc
caquintent,Bible in Caquinte,"The Bible, translated into Caquinte.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Iroaquerari Itioncacaantaqueca Aapani Irioshi: Tsavetacoquerica Amajirote Jesoquirishito [The Bible in Caquinte]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cotNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2022-12-21,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cotNT_html.zip,CLD-Bible-caquintent
wamey,Bible in Wamey,"The Bible, translated into Wamey.",ebible.org,"Wycliffe Bible Translators, Inc. (2018): Vikerëh Vikasëk W̃ën gë Wapëgwala [The Bible in Wamey]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cou_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2018,2020-12-01,All rights reserved,"Copyright © 2018 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cou_html.zip,CLD-Bible-wamey
palantlachinantecnt,Bible in Palantla Chinantec,"The Bible, translated into Palantla Chinantec.",ebible.org,"Wycliffe Bible Translators, Inc. (1973): El Nuevo Testamento de nuestro señor Jesucristo: Versión chinanteca [The Bible in Palantla Chinantec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cpaNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1973,2014-04-22,CCBYNCND-4.0,"Copyright © 1973 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cpaNT_html.zip,CLD-Bible-palantlachinantecnt
ucayaliyuruaasheninkant,Bible in Ucayali-Yurúa Ashéninka,"The Bible, translated into Ucayali-Yurúa Ashéninka.",ebible.org,"Wycliffe Bible Translators, Inc. (2000): Kameethari Ñaantsi: ikenkitha-takoitziri awinkatharite Jesucristo; Owakerari aapatziya-wakagaantsi [The Bible in Ucayali-Yurúa Ashéninka]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cpbNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2000,2014-04-21,CCBYNCND-4.0,"Copyright © 2000 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cpbNT_html.zip,CLD-Bible-ucayaliyuruaasheninkant
ajyininkaapurucayalint,Bible in Ajyíninka Apurucayali,"The Bible, translated into Ajyíninka Apurucayali.",ebible.org,"Wycliffe Bible Translators, Inc. (2000): KAMIITHARI ÑAANTSI [The Bible in Ajyíninka Apurucayali]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cpcNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2000,2014-04-21,CCBYNCND-4.0,"Copyright © 2000 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cpcNT_html.zip,CLD-Bible-ajyininkaapurucayalint
pichisasheninkant,Bible in Pichis Ashéninka,"The Bible, translated into Pichis Ashéninka.",ebible.org,Wycliffe Bible Translators (2008): KAMEETHARI ÑAANTSI: Iñaaventaitzirira Avinkatharite Jesucristo [The Bible in Pichis Ashéninka]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cpuNT_html.zip,,Primary texts,Wycliffe Bible Translators,2008,2014-12-03,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cpuNT_html.zip,CLD-Bible-pichisasheninkant
southucayaliasheninka,Bible in South Ucayali Ashéninka,"The Bible, translated into South Ucayali Ashéninka.",ebible.org,Wycliffe Bible Translators (2008): Las Escrituras en Ashéninka Ucayali del Sur del Perú [The Bible in South Ucayali Ashéninka]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cpy_html.zip,,Primary texts,Wycliffe Bible Translators,2008,2016-06-08,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cpy_html.zip,CLD-Bible-southucayaliasheninka
southerneastcree,Bible in Southern East Cree,"The Bible, translated into Southern East Cree.",ebible.org,Canadian Bible Society (2001): Cree: Eastern. Chishemanituu Utayimuwin kaa uskaach testimint. [The Bible in Southern East Cree]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/crj_html.zip,,Primary texts,Canadian Bible Society,2001,2020-11-16,All rights reserved,"Copyright © 2001 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/crj_html.zip,CLD-Bible-southerneastcree
northerneastcree,Bible in Northern East Cree,"The Bible, translated into Northern East Cree.",ebible.org,Canadian Bible Society (2016): Cree: Coastal (East Coast) [The Bible in Northern East Cree]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/crl_html.zip,,Primary texts,Canadian Bible Society,2016,2020-11-16,All rights reserved,"Copyright © 2016 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/crl_html.zip,CLD-Bible-northerneastcree
elnayarcorant,Bible in El Nayar Cora,"The Bible, translated into El Nayar Cora.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Ɨ niuucari tɨ jejcua, tɨ ajta jɨme'en ra'axa a'ɨjna ɨ tavastara'a, ɨ Cɨriistu'u tɨ ji'i Jesús tɨ̀ tu'irájtuaa [The Bible in El Nayar Cora]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/crnNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2014-04-22,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/crnNT_html.zip,CLD-Bible-elnayarcorant
centralcarrierntpo,Bible in Central Carrier,"The Bible, translated into Central Carrier.",ebible.org,"Wycliffe Bible Translators, Inc. (2011): Yak'usda Ooghuni [The Bible in Central Carrier]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/crxNTpo_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2011,2014-04-22,CCBYNCND-4.0,"Copyright © 2011 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/crxNTpo_html.zip,CLD-Bible-centralcarrierntpo
sochiapamchinantecnt,Bible in Sochiapam Chinantec,"The Bible, translated into Sochiapam Chinantec.",ebible.org,"Wycliffe Bible Translators, Inc. (1986): Jú¹ chú³² quioh²¹ Jesús tsá² lɨn³ Cristo [The Bible in Sochiapam Chinantec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/csoNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1986,2014-04-22,CCBYNCND-4.0,"Copyright © 1986 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/csoNT_html.zip,CLD-Bible-sochiapamchinantecnt
sizangchin,Bible in Sizang Chin,"The Bible, translated into Sizang Chin.",ebible.org,Siyin KJV Bible Team (2020): Tinaung Takluem [The Bible in Sizang Chin]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/csy_html.zip,,Primary texts,Siyin KJV Bible Team,2020,2020-12-23,CCBYSA,Copyright © 2020 Siyin KJV Bible Team,https://ebible.org/Scriptures/csy_html.zip,CLD-Bible-sizangchin
tataltepecchatinont,Bible in Tataltepec Chatino,"The Bible, translated into Tataltepec Chatino.",ebible.org,"Wycliffe Bible Translators, Inc. (1981): Chaʼ tsoʼo nu nchcuiʼ jiʼi̱ Jesucristo nu xuʼna na [The Bible in Tataltepec Chatino]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ctaNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1981,2014-04-22,CCBYNCND-4.0,"Copyright © 1981 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/ctaNT_html.zip,CLD-Bible-tataltepecchatinont
thaipumchin,Bible in Thaipum Chin,"The Bible, translated into Thaipum Chin.",ebible.org,Batupuei Christian Fellowship (2020): Thai Phum Holy Bible [The Bible in Thaipum Chin]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cth_html.zip,,Primary texts,Batupuei Christian Fellowship,2020,2024-05-01,CCBYSA,Copyright © 2020 Batupuei Christian Fellowship,https://ebible.org/Scriptures/cth_html.zip,CLD-Bible-thaipumchin
westernhighlandchatinont,Bible in Western Highland Chatino,"The Bible, translated into Western Highland Chatino.",ebible.org,"Wycliffe Bible Translators, Inc. (1992): Chaʼ suʼwe nu nchkwiʼ chaʼ ʼin Jesucristo nu nka xʼnaan [The Bible in Western Highland Chatino]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ctpNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1992,2014-04-22,CCBYNCND-4.0,"Copyright © 1992 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/ctpNT_html.zip,CLD-Bible-westernhighlandchatinont
chol76,Bible in Chol,"The Bible, translated into Chol.",ebible.org,Wycliffe Bible Translators (1976): Jini wen bʌ tʼan [The Bible in Chol]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ctu76_html.zip,,Primary texts,Wycliffe Bible Translators,1976,2015-03-17,CCBYNCND-4.0,"Copyright © 1976 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/ctu76_html.zip,CLD-Bible-chol76
cholbl,Bible in Chol,"The Bible, translated into Chol.",ebible.org,"Wycliffe Bible Translators, Inc. (1977): I T’an Dios [The Bible in Chol]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ctuBl_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1977,2014-04-22,CCBYNCND-4.0,"Copyright © 1977 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/ctuBl_html.zip,CLD-Bible-cholbl
cholcti,Bible in Chol,"The Bible, translated into Chol.",ebible.org,Wycliffe Bible Translators (2008): JINI WEN BΛ T'AN [The Bible in Chol]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ctucti_html.zip,,Primary texts,Wycliffe Bible Translators,2008,2016-06-08,CCBYNCND-4.0,Copyright © 2008 La Liga Bíblica,https://ebible.org/Scriptures/ctucti_html.zip,CLD-Bible-cholcti
cubeont,Bible in Cubeo,"The Bible, translated into Cubeo.",ebible.org,"Wycliffe Bible Translators, Inc. (2009): Majepacʉ jʉ̃menijicʉi yávaiye mamaene coyʉitucubo [The Bible in Cubeo]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cubNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2009,2014-04-22,CCBYNCND-4.0,"Copyright © 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cubNT_html.zip,CLD-Bible-cubeont
usilachinantecnt,Bible in Usila Chinantec,"The Bible, translated into Usila Chinantec.",ebible.org,"Wycliffe Bible Translators, Inc. (1983): Jau²³ hm²³ i⁴ra³tya²³ nei² quieh¹ re¹ Jesucristo quian⁴-¹ [The Bible in Usila Chinantec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cucNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1983,2014-04-22,CCBYNCND-4.0,"Copyright © 1983 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cucNT_html.zip,CLD-Bible-usilachinantecnt
cuiba,Bible in Cuiba,"The Bible, translated into Cuiba.",ebible.org,"Wycliffe Bible Translators, Inc. (2010): Nacom Pejume Diwesi po diwesi pena jume diwesi xua Jesucristo yabara tinatsi [The Bible in Cuiba]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cui_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2010,2014-04-22,CCBYNCND-4.0,"Copyright © 2010 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cui_html.zip,CLD-Bible-cuiba
sanblaskuna09,Bible in San Blas Kuna,"The Bible, translated into San Blas Kuna.",ebible.org,Wycliffe Bible Translators (2009): Bab dummad Jesucristoba igar mesisad garda [The Bible in San Blas Kuna]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cuk09_html.zip,,Primary texts,Wycliffe Bible Translators,2009,2015-03-17,CCBYNCND-4.0,"Copyright © 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cuk09_html.zip,CLD-Bible-sanblaskuna09
sanblaskuna,Bible in San Blas Kuna,"The Bible, translated into San Blas Kuna.",ebible.org,"Wycliffe Bible Translators, Inc. (2014): Bab-Dummad-Garda-Islidikid [The Bible in San Blas Kuna]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cuk_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2014,2014-03-31,CCBYNCND-4.0,"Copyright © 2014 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cuk_html.zip,CLD-Bible-sanblaskuna
culina,Bible in Culina,"The Bible, translated into Culina.",ebible.org,"Wycliffe Bible Translators, Inc. (2014): El Nuevo Testamento en el idioma Culina (mádija) del Perú [The Bible in Culina]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cul_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2014,2020-11-16,All rights reserved,"Copyright © 2014 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cul_html.zip,CLD-Bible-culina
teutilacuicatecnt,Bible in Teutila Cuicatec,"The Bible, translated into Teutila Cuicatec.",ebible.org,"Wycliffe Bible Translators, Inc. (1972): El Nuevo Testamento: Cuicateco de Teutila [The Bible in Teutila Cuicatec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cutNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1972,2014-04-22,CCBYNCND-4.0,"Copyright © 1972 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cutNT_html.zip,CLD-Bible-teutilacuicatecnt
tepeuxilacuicatecnt,Bible in Tepeuxila Cuicatec,"The Bible, translated into Tepeuxila Cuicatec.",ebible.org,"Wycliffe Bible Translators, Inc. (1974): Nduudu nʼdai yeⁿʼe Ndyuūs yeⁿʼe cuicateco yeⁿʼe Tepeuxila [The Bible in Tepeuxila Cuicatec]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cuxNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1974,2014-04-22,CCBYNCND-4.0,"Copyright © 1974 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/cuxNT_html.zip,CLD-Bible-tepeuxilacuicatecnt
kwere,Bible in Kwere,"The Bible, translated into Kwere.",ebible.org,Pioneer Bible Translators and The Word for the World (2014): Biblia Ching'hwele [The Bible in Kwere]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/cwe_html.zip,,Primary texts,Pioneer Bible Translators and The Word for the World,2014,2022-06-21,CCBYND-4.0,"Copyright © 2014, 2019 The Word for the World and Pioneer Bible Translators",https://ebible.org/Scriptures/cwe_html.zip,CLD-Bible-kwere
